cluster_name,cluster_context,cluster_server,record_type,name,namespace,detail_1,detail_2,detail_3,detail_4,detail_5,detail_6
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,apiserver_config,cluster,,Default,Intermediate,,,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,apiserver_admission_plugin,kube-apiserver,,LimitRanger;ResourceQuota;PodSecurity;NodeRestriction;MutatingAdmissionWebhook;ValidatingAdmissionWebhook,,,,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,default_admission_plugin,LimitRanger,,enabled,,,,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,default_admission_plugin,ResourceQuota,,enabled,,,,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,default_admission_plugin,PodSecurity,,enabled,,,,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,default_admission_plugin,NodeRestriction,,enabled,,,,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,default_admission_plugin,MutatingAdmissionWebhook,,enabled,,,,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,default_admission_plugin,ValidatingAdmissionWebhook,,enabled,,,,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,validating_webhook,gatekeeper-validating-webhook-configuration/validation.gatekeeper.sh,,Fail,10,None,Namespaced,pods;deployments,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,validating_webhook,machine-api/validation.machine.openshift.io,,Fail,10,None,Cluster,machines,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,mutating_webhook,pod-identity-webhook/pod-identity-webhook.openshift.io,,Fail,5,None,Namespaced,pods,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,apiserver_config,cluster,,Default,Intermediate,,,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,apiserver_admission_plugin,kube-apiserver,,LimitRanger;ResourceQuota;PodSecurity;NodeRestriction;MutatingAdmissionWebhook;ValidatingAdmissionWebhook,,,,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,default_admission_plugin,LimitRanger,,enabled,,,,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,default_admission_plugin,ResourceQuota,,enabled,,,,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,default_admission_plugin,PodSecurity,,enabled,,,,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,default_admission_plugin,NodeRestriction,,enabled,,,,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,default_admission_plugin,MutatingAdmissionWebhook,,enabled,,,,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,default_admission_plugin,ValidatingAdmissionWebhook,,enabled,,,,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,validating_webhook,gatekeeper-validating-webhook-configuration/validation.gatekeeper.sh,,Fail,10,None,Namespaced,pods;deployments,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,validating_webhook,machine-api/validation.machine.openshift.io,,Fail,10,None,Cluster,machines,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,mutating_webhook,pod-identity-webhook/pod-identity-webhook.openshift.io,,Fail,5,None,Namespaced,pods,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,apiserver_config,cluster,,Default,Intermediate,,,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,apiserver_admission_plugin,kube-apiserver,,LimitRanger;ResourceQuota;PodSecurity;NodeRestriction;MutatingAdmissionWebhook;ValidatingAdmissionWebhook,,,,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,default_admission_plugin,LimitRanger,,enabled,,,,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,default_admission_plugin,ResourceQuota,,enabled,,,,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,default_admission_plugin,PodSecurity,,enabled,,,,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,default_admission_plugin,NodeRestriction,,enabled,,,,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,default_admission_plugin,MutatingAdmissionWebhook,,enabled,,,,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,default_admission_plugin,ValidatingAdmissionWebhook,,enabled,,,,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,validating_webhook,gatekeeper-validating-webhook-configuration/validation.gatekeeper.sh,,Fail,10,None,Namespaced,pods;deployments,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,validating_webhook,machine-api/validation.machine.openshift.io,,Fail,10,None,Cluster,machines,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,mutating_webhook,pod-identity-webhook/pod-identity-webhook.openshift.io,,Fail,5,None,Namespaced,pods,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,apiserver_config,cluster,,Default,Intermediate,,,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,apiserver_admission_plugin,kube-apiserver,,LimitRanger;ResourceQuota;PodSecurity;NodeRestriction;MutatingAdmissionWebhook;ValidatingAdmissionWebhook,,,,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,default_admission_plugin,LimitRanger,,enabled,,,,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,default_admission_plugin,ResourceQuota,,enabled,,,,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,default_admission_plugin,PodSecurity,,enabled,,,,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,default_admission_plugin,NodeRestriction,,enabled,,,,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,default_admission_plugin,MutatingAdmissionWebhook,,enabled,,,,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,default_admission_plugin,ValidatingAdmissionWebhook,,enabled,,,,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,validating_webhook,gatekeeper-validating-webhook-configuration/validation.gatekeeper.sh,,Fail,10,None,Namespaced,pods;deployments,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,validating_webhook,machine-api/validation.machine.openshift.io,,Fail,10,None,Cluster,machines,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,mutating_webhook,pod-identity-webhook/pod-identity-webhook.openshift.io,,Fail,5,None,Namespaced,pods,
