cluster_name,cluster_context,cluster_server,record_type,name,namespace,detail_1,detail_2,detail_3,detail_4,detail_5,detail_6
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,build_default_config,cluster,,http://proxy.example.com:3128,vendor;build-date;commit-sha,cpu=2;memory=4Gi,cpu=500m;memory=1Gi,1,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,build_config,payments-build,payments-prod,Source,registry.example.com/builders/ubi9-s2i:latest,git-source-secret,registry-push-secret,false,false|false
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,build_config,billing-build,billing-app,Source,registry.example.com/builders/ubi9-s2i:latest,git-source-secret,registry-push-secret,false,false|false
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,image_stream_policy,payments-api,payments-prod,true,3,,Local,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,image_stream_policy,billing-web,billing-app,true,2,,Local,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,build_default_config,cluster,,http://proxy.example.com:3128,vendor;build-date;commit-sha,cpu=2;memory=4Gi,cpu=500m;memory=1Gi,1,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,build_config,payments-build,payments-prod,Source,registry.example.com/builders/ubi9-s2i:latest,git-source-secret,registry-push-secret,false,false|false
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,build_config,billing-build,billing-app,Source,registry.example.com/builders/ubi9-s2i:latest,git-source-secret,registry-push-secret,false,false|false
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,image_stream_policy,payments-api,payments-prod,true,3,,Local,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,image_stream_policy,billing-web,billing-app,true,2,,Local,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,build_default_config,cluster,,http://proxy.example.com:3128,vendor;build-date;commit-sha,cpu=2;memory=4Gi,cpu=500m;memory=1Gi,1,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,build_config,payments-build,payments-prod,Source,registry.example.com/builders/ubi9-s2i:latest,git-source-secret,registry-push-secret,false,false|false
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,build_config,billing-build,billing-app,Source,registry.example.com/builders/ubi9-s2i:latest,git-source-secret,registry-push-secret,false,false|false
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,image_stream_policy,payments-api,payments-prod,true,3,,Local,,
