cluster_name,cluster_context,cluster_server,namespace,is_system_namespace,has_lr_default_request,has_lr_default_limit,has_lr_max,lr_default_request,lr_default_limit,lr_max,has_quota_request,has_quota_limit,quota_request_hard,quota_limit_hard,emptydir_pods_total,emptydir_pods_without_sizelimit
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,openshift-monitoring,true,false,false,false,,,,false,false,,,0,0
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,kube-system,true,false,false,false,,,,false,false,,,0,0
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,payments-prod,false,true,true,true,256Mi,1Gi,4Gi,true,true,10Gi,40Gi,5,0
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,billing-app,false,true,true,true,256Mi,1Gi,4Gi,true,true,10Gi,40Gi,5,0
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,analytics,false,true,true,true,256Mi,1Gi,4Gi,true,true,10Gi,40Gi,5,0
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,openshift-monitoring,true,false,false,false,,,,false,false,,,0,0
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,kube-system,true,false,false,false,,,,false,false,,,0,0
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,payments-prod,false,true,true,true,256Mi,1Gi,4Gi,true,true,10Gi,40Gi,5,0
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,billing-app,false,true,true,true,256Mi,1Gi,4Gi,true,true,10Gi,40Gi,5,0
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,analytics,false,true,true,true,256Mi,1Gi,4Gi,true,true,10Gi,40Gi,5,0
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,openshift-monitoring,true,false,false,false,,,,false,false,,,0,0
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,kube-system,true,false,false,false,,,,false,false,,,0,0
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,payments-prod,false,true,true,true,256Mi,1Gi,4Gi,true,true,10Gi,40Gi,5,0
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,billing-app,false,true,true,true,256Mi,1Gi,4Gi,true,true,10Gi,40Gi,5,0
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,analytics,false,true,true,true,256Mi,1Gi,4Gi,true,true,10Gi,40Gi,5,0
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,openshift-monitoring,true,false,false,false,,,,false,false,,,0,0
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,kube-system,true,false,false,false,,,,false,false,,,0,0
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,payments-prod,false,true,true,true,256Mi,1Gi,4Gi,true,true,10Gi,40Gi,5,0
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,billing-app,false,true,true,true,256Mi,1Gi,4Gi,true,true,10Gi,40Gi,5,0
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,analytics,false,true,true,true,256Mi,1Gi,4Gi,true,true,10Gi,40Gi,5,0
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,openshift-monitoring,true,false,false,false,,,,false,false,,,0,0
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,kube-system,true,false,false,false,,,,false,false,,,0,0
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,payments-prod,false,true,true,true,256Mi,1Gi,4Gi,true,true,10Gi,40Gi,5,0
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,billing-app,false,true,true,true,256Mi,1Gi,4Gi,true,true,10Gi,40Gi,5,0
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,analytics,false,true,true,true,256Mi,1Gi,4Gi,true,true,10Gi,40Gi,5,0
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,openshift-monitoring,true,false,false,false,,,,false,false,,,0,0
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,kube-system,true,false,false,false,,,,false,false,,,0,0
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,payments-prod,false,true,true,true,256Mi,1Gi,4Gi,true,true,10Gi,40Gi,5,0
