cluster_name,cluster_context,cluster_server,record_type,name,namespace,detail_1,detail_2,detail_3,detail_4,detail_5,detail_6
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,cluster_image_policy_signature,require-signed-images,,PublicKey,true,true,https://rekor.sigstore.dev,registry.example.com/payments;registry.example.com/billing,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,build_config,payments-build,payments-prod,Source,registry.example.com/payments/api:latest,registry-push-secret,true,cosign,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,build_config,billing-build,billing-app,Docker,registry.example.com/billing/web:latest,registry-push-secret,true,cosign,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,tekton_signing_task,cosign-sign,openshift-pipelines,ClusterTask,cosign,kms://aws-kms/payments-signer,v1.6.0,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,registry_signature_config,internal-registry,,registry.example.com,true,https://sigstore.example.com,,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,cluster_image_policy_signature,require-signed-images,,PublicKey,true,true,https://rekor.sigstore.dev,registry.example.com/payments;registry.example.com/billing,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,build_config,payments-build,payments-prod,Source,registry.example.com/payments/api:latest,registry-push-secret,true,cosign,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,build_config,billing-build,billing-app,Docker,registry.example.com/billing/web:latest,registry-push-secret,true,cosign,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,tekton_signing_task,cosign-sign,openshift-pipelines,ClusterTask,cosign,kms://aws-kms/payments-signer,v1.6.0,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,registry_signature_config,internal-registry,,registry.example.com,true,https://sigstore.example.com,,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,cluster_image_policy_signature,require-signed-images,,PublicKey,true,true,https://rekor.sigstore.dev,registry.example.com/payments;registry.example.com/billing,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,build_config,payments-build,payments-prod,Source,registry.example.com/payments/api:latest,registry-push-secret,true,cosign,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,build_config,billing-build,billing-app,Docker,registry.example.com/billing/web:latest,registry-push-secret,true,cosign,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,tekton_signing_task,cosign-sign,openshift-pipelines,ClusterTask,cosign,kms://aws-kms/payments-signer,v1.6.0,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,registry_signature_config,internal-registry,,registry.example.com,true,https://sigstore.example.com,,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,cluster_image_policy_signature,require-signed-images,,PublicKey,true,true,https://rekor.sigstore.dev,registry.example.com/payments;registry.example.com/billing,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,build_config,payments-build,payments-prod,Source,registry.example.com/payments/api:latest,registry-push-secret,true,cosign,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,build_config,billing-build,billing-app,Docker,registry.example.com/billing/web:latest,registry-push-secret,true,cosign,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,tekton_signing_task,cosign-sign,openshift-pipelines,ClusterTask,cosign,kms://aws-kms/payments-signer,v1.6.0,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,registry_signature_config,internal-registry,,registry.example.com,true,https://sigstore.example.com,,,
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,cluster_image_policy_signature,require-signed-images,,PublicKey,true,true,https://rekor.sigstore.dev,registry.example.com/payments;registry.example.com/billing,
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,build_config,payments-build,payments-prod,Source,registry.example.com/payments/api:latest,registry-push-secret,true,cosign,
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,build_config,billing-build,billing-app,Docker,registry.example.com/billing/web:latest,registry-push-secret,true,cosign,
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,tekton_signing_task,cosign-sign,openshift-pipelines,ClusterTask,cosign,kms://aws-kms/payments-signer,v1.6.0,,
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,registry_signature_config,internal-registry,,registry.example.com,true,https://sigstore.example.com,,,
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,cluster_image_policy_signature,require-signed-images,,PublicKey,true,true,https://rekor.sigstore.dev,registry.example.com/payments;registry.example.com/billing,
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,build_config,payments-build,payments-prod,Source,registry.example.com/payments/api:latest,registry-push-secret,true,cosign,
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,build_config,billing-build,billing-app,Docker,registry.example.com/billing/web:latest,registry-push-secret,true,cosign,
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,tekton_signing_task,cosign-sign,openshift-pipelines,ClusterTask,cosign,kms://aws-kms/payments-signer,v1.6.0,,
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,registry_signature_config,internal-registry,,registry.example.com,true,https://sigstore.example.com,,,
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,cluster_image_policy_signature,(none),,,false,false,,,
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,build_config,dev-build,dev-team-a,Source,registry.example.com/dev/api:latest,registry-push-secret,false,,
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,registry_signature_config,internal-registry,,registry.example.com,false,,,,
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,cluster_image_policy_signature,(none),,,false,false,,,
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,build_config,dev-build,dev-team-a,Source,registry.example.com/dev/api:latest,registry-push-secret,false,,
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,registry_signature_config,internal-registry,,registry.example.com,false,,,,
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,cluster_image_policy_signature,(none),,,false,false,,,
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,build_config,dev-build,dev-team-a,Source,registry.example.com/dev/api:latest,registry-push-secret,false,,
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,registry_signature_config,internal-registry,,registry.example.com,false,,,,
