cluster_name,cluster_context,cluster_server,record_type,component_name,status,namespace,detail_1,detail_2,detail_3,detail_4
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,cni,OVNKubernetes,active,openshift-ovn-kubernetes,mtu=8901,egress-firewall=enabled,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,operator,servicemesh-operator,installed,openshift-operators,version=2.6.2,channel=stable,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,smcp,basic,Ready,istio-system,profile=default,mtls=strict,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,networkpolicy_count,,42,,namespaces-with-policies=18,total-namespaces=60,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,egress_firewall_count,,5,,active=5,,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,cni,OVNKubernetes,active,openshift-ovn-kubernetes,mtu=8901,egress-firewall=enabled,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,operator,servicemesh-operator,installed,openshift-operators,version=2.6.2,channel=stable,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,networkpolicy_count,,22,,namespaces-with-policies=8,total-namespaces=25,,
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,cni,OVNKubernetes,active,openshift-ovn-kubernetes,mtu=8901,egress-firewall=disabled,,
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,operator,servicemesh-operator,not-installed,,,,,
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,networkpolicy_count,,3,,namespaces-with-policies=2,total-namespaces=15,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,cni,OVNKubernetes,active,openshift-ovn-kubernetes,mtu=8901,egress-firewall=enabled,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,cni,OVNKubernetes,active,openshift-ovn-kubernetes,mtu=8901,egress-firewall=enabled,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,operator,servicemesh-operator,installed,openshift-operators,version=2.6.2,channel=stable,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,operator,servicemesh-operator,installed,openshift-operators,version=2.6.2,channel=stable,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,smcp,basic,Ready,istio-system,profile=default,mtls=strict,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,smcp,basic,Ready,istio-system,profile=default,mtls=strict,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,networkpolicy_count,,42,,namespaces-with-policies=18,total-namespaces=60,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,networkpolicy_count,,42,,namespaces-with-policies=18,total-namespaces=60,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,egress_firewall_count,,5,,active=5,,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,egress_firewall_count,,5,,active=5,,,
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,cni,OVNKubernetes,active,openshift-ovn-kubernetes,mtu=8901,egress-firewall=enabled,,
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,cni,OVNKubernetes,active,openshift-ovn-kubernetes,mtu=8901,egress-firewall=enabled,,
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,operator,servicemesh-operator,installed,openshift-operators,version=2.6.2,channel=stable,,
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,operator,servicemesh-operator,installed,openshift-operators,version=2.6.2,channel=stable,,
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,networkpolicy_count,,22,,namespaces-with-policies=8,total-namespaces=25,,
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,networkpolicy_count,,22,,namespaces-with-policies=8,total-namespaces=25,,
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,cni,OVNKubernetes,active,openshift-ovn-kubernetes,mtu=8901,egress-firewall=disabled,,
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,cni,OVNKubernetes,active,openshift-ovn-kubernetes,mtu=8901,egress-firewall=disabled,,
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,operator,servicemesh-operator,not-installed,,,,,
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,operator,servicemesh-operator,not-installed,,,,,
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,networkpolicy_count,,3,,namespaces-with-policies=2,total-namespaces=15,,
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,networkpolicy_count,,3,,namespaces-with-policies=2,total-namespaces=15,,
