cluster_name,cluster_context,cluster_server,namespace,is_system_namespace,enforce_level,enforce_version,audit_level,audit_version,warn_level,warn_version
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,app-prod,false,restricted,v1.30,restricted,v1.30,restricted,v1.30
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,team-platform,false,restricted,v1.30,restricted,v1.30,restricted,v1.30
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,payments,false,restricted,v1.30,restricted,v1.30,restricted,v1.30
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,openshift-monitoring,true,privileged,latest,privileged,latest,privileged,latest
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,app-staging,false,restricted,v1.30,restricted,v1.30,restricted,v1.30
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,team-platform,false,restricted,v1.30,restricted,v1.30,restricted,v1.30
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,openshift-monitoring,true,privileged,latest,privileged,latest,privileged,latest
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,dev-ns,false,privileged,latest,privileged,latest,privileged,latest
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,my-app,false,,,,,,
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,default,false,,,,,,
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,openshift-monitoring,true,privileged,latest,privileged,latest,privileged,latest
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,app-prod,false,restricted,v1.30,restricted,v1.30,restricted,v1.30
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,team-platform,false,restricted,v1.30,restricted,v1.30,restricted,v1.30
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,payments,false,restricted,v1.30,restricted,v1.30,restricted,v1.30
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,openshift-monitoring,true,privileged,latest,privileged,latest,privileged,latest
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,app-prod,false,restricted,v1.30,restricted,v1.30,restricted,v1.30
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,team-platform,false,restricted,v1.30,restricted,v1.30,restricted,v1.30
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,payments,false,restricted,v1.30,restricted,v1.30,restricted,v1.30
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,openshift-monitoring,true,privileged,latest,privileged,latest,privileged,latest
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,app-staging,false,restricted,v1.30,restricted,v1.30,restricted,v1.30
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,team-platform,false,restricted,v1.30,restricted,v1.30,restricted,v1.30
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,openshift-monitoring,true,privileged,latest,privileged,latest,privileged,latest
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,app-staging,false,restricted,v1.30,restricted,v1.30,restricted,v1.30
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,team-platform,false,restricted,v1.30,restricted,v1.30,restricted,v1.30
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,openshift-monitoring,true,privileged,latest,privileged,latest,privileged,latest
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,dev-ns,false,privileged,latest,privileged,latest,privileged,latest
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,my-app,false,,,,,,
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,openshift-monitoring,true,privileged,latest,privileged,latest,privileged,latest
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,dev-ns,false,privileged,latest,privileged,latest,privileged,latest
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,my-app,false,,,,,,
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,default,false,,,,,,
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,openshift-monitoring,true,privileged,latest,privileged,latest,privileged,latest
