cluster_name,cluster_context,cluster_server,gatekeeper_installed,gatekeeper_namespace,constraint_template,constraint_name,enforcement_action,total_violations,match_kinds,match_namespaces
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,true,gatekeeper-system,k8srequiredlabels,ns-must-have-owner,deny,0,Namespace,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,true,gatekeeper-system,k8sdisallowedrepos,block-untrusted-images,deny,2,Pod,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,true,gatekeeper-system,k8srequiredprobes,require-liveness-probes,warn,5,Deployment;StatefulSet,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,true,gatekeeper-system,k8srequiredlabels,ns-must-have-owner,dryrun,3,Namespace,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,true,gatekeeper-system,k8sdisallowedrepos,block-untrusted-images,warn,7,Pod,
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,false,,,,,,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,true,gatekeeper-system,k8srequiredlabels,ns-must-have-owner,deny,0,Namespace,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,true,gatekeeper-system,k8srequiredlabels,ns-must-have-owner,deny,0,Namespace,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,true,gatekeeper-system,k8sdisallowedrepos,block-untrusted-images,deny,2,Pod,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,true,gatekeeper-system,k8sdisallowedrepos,block-untrusted-images,deny,2,Pod,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,true,gatekeeper-system,k8srequiredprobes,require-liveness-probes,warn,5,Deployment;StatefulSet,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,true,gatekeeper-system,k8srequiredprobes,require-liveness-probes,warn,5,Deployment;StatefulSet,
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,true,gatekeeper-system,k8srequiredlabels,ns-must-have-owner,dryrun,3,Namespace,
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,true,gatekeeper-system,k8srequiredlabels,ns-must-have-owner,dryrun,3,Namespace,
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,true,gatekeeper-system,k8sdisallowedrepos,block-untrusted-images,warn,7,Pod,
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,true,gatekeeper-system,k8sdisallowedrepos,block-untrusted-images,warn,7,Pod,
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,false,,,,,,,
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,false,,,,,,,
