cluster_name,cluster_context,cluster_server,record_type,product_name,installed,namespace,operator_version,detail_1,detail_2,detail_3
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,operator,external-secrets-operator,true,external-secrets-operator,0.9.20,channel=stable,source=redhat-operators,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,operator,cert-manager-operator,true,cert-manager-operator,1.14.5,channel=stable-v1,source=redhat-operators,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,csi,secrets-store-csi-driver,true,openshift-cluster-csi-drivers,,provider=vault,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,operator,cert-manager-operator,true,cert-manager-operator,1.14.5,channel=stable-v1,source=redhat-operators,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,operator,external-secrets-operator,false,,,,,
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,operator,cert-manager-operator,false,,,,,
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,operator,external-secrets-operator,false,,,,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,operator,external-secrets-operator,true,external-secrets-operator,0.9.20,channel=stable,source=redhat-operators,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,operator,external-secrets-operator,true,external-secrets-operator,0.9.20,channel=stable,source=redhat-operators,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,operator,cert-manager-operator,true,cert-manager-operator,1.14.5,channel=stable-v1,source=redhat-operators,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,operator,cert-manager-operator,true,cert-manager-operator,1.14.5,channel=stable-v1,source=redhat-operators,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,csi,secrets-store-csi-driver,true,openshift-cluster-csi-drivers,,provider=vault,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,csi,secrets-store-csi-driver,true,openshift-cluster-csi-drivers,,provider=vault,,
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,operator,cert-manager-operator,true,cert-manager-operator,1.14.5,channel=stable-v1,source=redhat-operators,
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,operator,cert-manager-operator,true,cert-manager-operator,1.14.5,channel=stable-v1,source=redhat-operators,
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,operator,external-secrets-operator,false,,,,,
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,operator,external-secrets-operator,false,,,,,
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,operator,cert-manager-operator,false,,,,,
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,operator,cert-manager-operator,false,,,,,
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,operator,external-secrets-operator,false,,,,,
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,operator,external-secrets-operator,false,,,,,
