cluster_name,cluster_context,cluster_server,node_name,node_roles,kubelet_version,ready_status,internal_ip,creation_timestamp,machine_config_state,current_config,desired_config,configs_match,kubelet_config_count,anonymous_auth,authorization_mode
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,master-0,master,v1.31.5,True,10.0.1.10,2024-01-15T08:30:00Z,Done,rendered-master-abc,rendered-master-abc,true,0,default,default
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,master-1,master,v1.31.5,True,10.0.1.11,2024-01-15T08:30:00Z,Done,rendered-master-abc,rendered-master-abc,true,0,default,default
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,master-2,master,v1.31.5,True,10.0.1.12,2024-01-15T08:30:00Z,Done,rendered-master-abc,rendered-master-abc,true,0,default,default
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,worker-0,worker,v1.31.5,True,10.0.2.10,2024-01-15T08:30:00Z,Done,rendered-worker-def,rendered-worker-def,true,0,default,default
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,worker-1,worker,v1.31.5,True,10.0.2.11,2024-01-15T08:30:00Z,Done,rendered-worker-def,rendered-worker-def,true,0,default,default
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,master-0,master,v1.31.4,True,10.1.1.10,2024-03-02T12:10:00Z,Done,rendered-master-ghi,rendered-master-ghi,true,0,default,default
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,master-1,master,v1.31.4,True,10.1.1.11,2024-03-02T12:10:00Z,Done,rendered-master-ghi,rendered-master-ghi,true,0,default,default
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,master-2,master,v1.31.4,True,10.1.1.12,2024-03-02T12:10:00Z,Done,rendered-master-ghi,rendered-master-ghi,true,0,default,default
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,worker-0,worker,v1.31.4,True,10.1.2.10,2024-03-02T12:10:00Z,Done,rendered-worker-jkl,rendered-worker-jkl,true,0,default,default
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,master-0,master;worker,v1.31.3,True,10.2.1.10,2024-06-20T09:45:00Z,Working,rendered-master-mno,rendered-master-pqr,false,1,true,AlwaysAllow
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,worker-0,worker,v1.31.3,True,10.2.2.10,2024-06-20T09:45:00Z,Done,rendered-worker-stu,rendered-worker-stu,true,1,true,AlwaysAllow
