cluster_name,cluster_context,cluster_server,record_type,namespace,name,resource_key,hard_limit,used,limit_type,default_value,default_request,max_value,min_value
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,resourcequota,app-prod,compute-quota,requests.cpu,40,22.5,,,,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,resourcequota,app-prod,compute-quota,requests.memory,80Gi,45Gi,,,,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,resourcequota,app-prod,compute-quota,limits.cpu,80,,,,,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,resourcequota,app-prod,compute-quota,limits.memory,160Gi,,,,,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,limitrange,app-prod,default-limits,cpu,,,Container,500m,100m,2,50m
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,limitrange,app-prod,default-limits,memory,,,Container,512Mi,128Mi,4Gi,64Mi
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,clusterresourcequota,,team-platform,requests.cpu,100,67,,,,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,resourcequota,app-staging,compute-quota,requests.cpu,20,8.2,,,,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,resourcequota,app-staging,compute-quota,requests.memory,40Gi,18Gi,,,,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,limitrange,app-staging,default-limits,cpu,,,Container,500m,100m,2,50m
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,resourcequota,dev-ns,compute-quota,requests.cpu,10,9.8,,,,,
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,resourcequota,dev-ns,compute-quota,requests.memory,20Gi,18Gi,,,,,
